ph,k,na,mg,ca,cl,f,sio2,temp
8,41.5,1350,3.1,70,2138,1.4,104,125.3
7.4,19,400,82,140,300,1.4,23,54.5
9.2,7.6,250,0.31,1.1,120,1.4,26,59.3
9,2.2,150,0.12,0.3,8.1,1.4,34,70.3
7,31,603,1,32,739,1.46,89,116.6
7.3,6.2,103.5,21.5,88.6,101,1.49,22.8,54.2
8.9,16.7,737,1.03,6.9,839,1.5,25.4,58.4
7.8,6.2,120,12,30,19,1.5,22,52.8
7.3,4,90,7.6,36,34,1.5,26,59.3
7.3,12.9,106,50.1,111,154,1.5,18.8,46.9
7.3,280,8900,870,380,9300,1.5,51,88.4
7.9,11,170,36,60,95,1.5,23,54.5
8,8.9,43,6.4,27,30,1.5,63,98.6
8,1.8,34,2,18,13,1.5,33,69.1
7.3,7.6,83,21,51,23,1.5,24,56.2
7.8,8.7,40,3.2,18,13,1.6,56,92.9
7.7,11,210,16,65,140,1.6,74,106.8
8.1,34,1500,5.7,22,2300,1.6,49,86.5
7.6,7.9,68,20,46,21,1.7,22,52.8
7.4,11,81,21,47,34,1.7,34,70.3
7.5,11,39,12,56,24,1.7,60,96.2
8.1,8.4,41,2.2,19,9.2,1.7,72,105.4
8.3,9.1,130,30,59,76,1.7,24,56.2
7.8,8.4,78,21,51,25,1.7,23,54.5
8,1.9,66,30,88,99,1.7,65,100.2
8.1,9.4,81,17,16,17,1.7,34,70.3
7.3,3.8,78.8,1.342,141.1,17.4,1.72,35.5,72.2
7.9,4.8,63,4.2,38,15,1.8,60,96.2
7.8,11,78,2.8,9.6,28,1.8,79,110.2
7.6,42.1,2720,139,178,1450,1.8,65,100.2
8.5,1.5,70,0.23,5.6,10,1.8,40,77.3
8,0.4,29,0.1,3.7,4.7,1.8,32,67.8
8.2,5.2,46,1.9,9.6,7,1.8,26,59.3
7.9,8.6,69,20,46,20,1.8,24,56.2
7.6,1.3,127,22.5,96.4,48,1.83,49.2,86.7
7.9,12.6,220.8,35.1,62.3,72.4,1.87,47.5,85.1
6.9,50,1650,0.8,170,2800,1.9,170,155.5
7.9,1.9,51,0.32,12,6.9,1.9,52,89.3
7.7,9.6,300,42,80,130,1.9,26,59.3
7.9,11,182,17,79,127,1.9,58,94.6
8.5,14,240,5.6,21,28,1.9,42,79.5
7.8,8.5,203.6,3.02,4.9,201,1.95,22.5,53.6
7.7,2.5,36.1,7.98,69,8.4,1.98,47.7,85.3
6.6,65,620,1.3,12,791,2,128,137.5
7.2,12.6,83.7,21,48.7,35.7,2,35.7,72.4
8.7,9.1,300,4.4,20,50,2,36,72.8
7.3,6.8,66,1,9.4,8.8,2,74,106.8
8,15,110,11,22,22,2,31,66.4
8.1,3.8,97,0.8,16,16,2,41,78.4
8.2,17,540,3.9,9.1,140,2,36,72.8
9.1,0.4,99,0.032,1.3,14.3,2,36.4,73.2
8.7,23.1,502,0.91,1.2,89.2,2.04,47,84.6
7.5,4.6,40.4,2.23,14.2,7,2.1,57.6,94.2
7.9,8.2,150,0.1,15,24,2.1,86,114.8
7.6,64,640,1,11,836,2.1,299,196.4
7.5,10.7,83,20,51,37.1,2.1,34,70.3
8.3,2.1,58,0.3,3.1,8.6,2.1,58,94.6
8,7.8,62,18,45,21,2.1,22,52.8
7.4,63,667,1,15,885,2.2,245,181.1
7.4,11.3,101,26.4,61.3,61.5,2.2,31.6,67.2
7.7,7.1,100,16,45.5,80.4,2.2,33,69.1
8.3,1.9,140,1.88,5.6,50.8,2.2,25.8,59
7.7,8.9,74.1,19.131,47.7,23.3,2.212,55.8,92.7
7.7,53,636,2,23,819,2.3,228,175.8
7.6,4.8,42,1.8,13,7.8,2.3,64,99.4
7.8,15,223,23.7,40.1,205,2.3,33.3,69.4
8.7,86,1300,0.1,4.4,1680,2.3,47,84.6
8.3,73,3000,3.1,17,4531,2.4,74,106.8
7.9,10,130,1.5,36,98,2.4,63,98.6
8.2,6.9,142,0.909,14.3,19.6,2.46,82.9,112.8
7.8,9.5,170,0.3,18,30,2.5,94,119.6
8,8.1,590,3.3,2.4,170,2.5,41,78.4
7.2,170,9300,1000,550,9400,2.5,54,91.1
7.1,60,647,44.5,217,142,2.5,38.7,75.9
8.2,5.1,110,1.3,17,45,2.5,50,87.5
8.7,170,2300,4.5,110,3800,2.5,131,138.9
8.1,62,639,0.01,2.8,833,2.6,321,202.1
9.3,6,240,0.2,0.7,12,2.6,41,78.4
7.9,2.7,63.9,2.73,15.8,20,2.61,65,100.2
7,86.6,935,0.41,41.2,1476,2.68,321,202.1
8.5,75,763,1.9,6.7,955,2.8,353,209.9
7.4,7.4,137.5,8.4,74,52.9,2.85,43.9,81.5
7.3,180,8500,1100,550,8700,2.9,42,79.5
7.1,180,6400,700,460,7500,2.9,52,89.3
8.1,5.5,127,1,12,17,2.9,50,87.5
7.9,5.5,240,2,2.6,51,2.9,34,70.3
7,24,159,7.8,47,27,2.9,40,77.3
8,3.3,140,0.16,79,21,2.9,52,89.3
8.1,140,2300,4.6,120,3890,2.9,138,142.1
7.9,2.9,729,2.23,5,83,2.97,20.4,49.9
7.9,3.1,73,0.34,11,14,3,48,85.6
8.1,31,1080,0.1,282,1841,3,95,120.2
8.1,110,2200,13,78,3460,3,104,125.3
8.5,130,2200,11,88,3800,3,103,124.8
6.5,86.9,876.5,0.35,40,1440,3.06,325.1,203.1
8.3,45,430,4,37,460,3.1,140,143
8.3,10,180,14,26,72,3.1,69,103.2
7.5,23,431,7.76,26,14,3.2,23.9,56
7.7,26,150,64,72,97,3.2,62,97.8
7.8,87,665,0.02,9.2,889,3.2,389,218.2
6.8,7.9,190,5.1,190,46,3.2,44,81.6
8.2,5.4,400,1.4,1.4,230,3.2,40,77.3
7.8,5.5,110,0.98,9.7,12,3.3,89,116.6
7.8,1.4,79,1.4,6.1,29,3.3,41,78.4
8.2,9.3,170,11,19,72,3.3,58,94.6
7.3,2.8,101,6.02,31.4,55.8,3.48,22,52.8
8.5,0.9,95,0.02,2.5,7.8,3.7,46,83.6
8,35.3,383.5,47.5,52.6,325,3.73,55.2,92.2
7.9,11,120,16,44,27,3.8,28,62.3
8.4,7.7,440,1.5,1.5,90,3.9,31,66.4
7.9,20,116,7.3,52,21,3.9,39,76.2
7.9,120,1700,19,115,2580,4.1,76,108.2
8.1,5.5,189,0.41,16,33,4.2,93,119
8,249,2230,0.2,87,3740,4.3,319,201.6
8.4,14,820,2.7,1.9,400,4.4,36,72.8
7.3,12,106,17,50,29,4.4,34,70.3
8,2.6,130,0.7,16,16,4.5,97,121.4
7,16,335.5,0.78,40,98.3,4.54,121.9,134.6
7.3,110,1350,7,100,2250,4.6,72,105.4
7.6,39,200,10,34,22,4.6,84,113.5
7.6,120,1450,6.5,110,2400,4.6,85,114.1
8.1,120,1600,3.2,97,2700,4.6,210,169.9
6.8,271,2730,0.11,142,4637,4.68,338,206.3
7,40,1000,0.42,52,1400,4.7,150,147.4
7.8,60,512,48,117,225,4.8,52,89.3
7.6,38,200,10.3,37,23,4.8,84,113.5
7.5,22.3,825,1.5,11.7,802,4.9,71.7,105.2
7.5,7.1,248,0.3,20,53,4.9,104,125.3
8.8,14,360,1.2,3.6,85,4.9,20,49.2
8.1,5.7,280,2.2,3.8,28,5,61,97
7.9,7.9,267,1,28,52,5,106,126.4
7.6,42,1480,1.7,108,2200,5,170,155.5
7.6,42,1500,1.7,110,2200,5,170,155.5
7.1,25.9,1006,4.469,60.5,1206,5.1,85.1,114.2
8,8,236,0.08,23,48,5.1,106,126.4
8.1,85,1050,1.3,14,1289,5.2,81,111.5
7.9,120,1400,0.17,148,2320,5.2,208,169.3
8.4,90,1150,28,260,1350,5.2,124,135.6
7.5,3.4,89,1.8,7.8,19,5.3,56,92.9
6.1,240,1400,7.2,120,2300,5.3,162,152.3
7.9,4.1,60.3,1.48,24.2,21.2,5.43,61.8,97.7
7.2,53,694,0.2,35,872,5.5,210,169.9
8.4,2.5,875,2,71,625,5.6,48,85.6
6.4,83.7,732.9,0.038,30.3,837,5.83,346.4,208.4
7.9,6,151,0.4,28,44,6,62,97.8
7.6,3,68,2.2,16,26,6,54,91.1
7.6,240,1350,3.6,43,2250,6.2,340,206.8
9,2.4,200,0.3,6.9,65,6.4,16,41.1
8.7,2.9,182,0.74,4,74.6,6.45,23.1,54.7
6.7,6.6,630,4.7,240,170,6.5,58,94.6
8.3,185,1560,3.46,25.3,2350,6.5,331.6,204.7
7.5,50,672,3,49,873,6.6,120,133.7
7.5,8.2,180,0.1,10,47,6.8,150,147.4
8,10,245,6.1,32,102,6.8,54,91.1
8.2,2,72,0.9,12,21,6.9,63,98.6
7.4,49.6,955,8.4,46.9,1320,7,103.3,124.9
7.9,17,340,4.2,31,240,7,82,112.2
7.9,3.2,68.3,0.74,14.8,19.7,7.21,65.3,100.4
7.4,11,260,0.08,40.4,85.2,7.28,76,108.2
7.4,10,276,0.41,42.9,89.2,7.48,50,87.5
7.6,93,990,7,32,1271,7.5,82,112.2
8.3,47.1,793,2.31,48.3,918,7.5,83.2,113
7.9,25.9,410,5.3,37.8,316,7.55,43.2,80.8
8,12,276,8.7,37,45,7.6,100,123.1
7.3,65,780,1.2,53,978,7.6,242,180.2
8.3,12,291,1,39,46,7.7,99,122.5
7.6,77,950,0.6,65,1187,7.8,330,204.3
7.2,41.4,431.6,0.04,23,481,7.92,284.5,192.5
7.8,4.8,200.9,12.721,27.7,37.5,8.051,24.6,57.1
7.6,19.2,214,1.9,22.6,57.3,8.3,200.2,166.6
7.9,33.3,439,0.38,39.9,352,8.3,178,158.6
8.1,67,1000,2.1,18,1300,8.5,260,185.5
7.2,37.2,499,0.45,44.8,430,9.5,191.7,163.6
8,5.3,206.9,0.611,29.1,32.8,9.518,68,102.5
8.1,48.7,1000,8.25,29.8,1180,9.9,65.7,100.7
7.3,3.5,123,0.5,6.4,27,10,65,100.2
7.6,17,220,1.4,16,49,11,125,136.1
8.7,2.7,160,0.25,7,33,11,63,98.6
8.3,6.2,210,1.5,3.2,54,14,125,136.1
8.7,2.4,104,0.1,1.2,12,15,105,125.9
8.4,5.7,325,1,4.2,67,17,54,91.1
8.8,61,2550,2.1,1.5,1500,19,19,47.3
7.7,340,3840,12.239,124,5970,49.6,81.3,111.7
7.7,334,3910,11.553,184,5870,55.3,84.1,113.5
